filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
72kkxc11tf.h5,0.5739368460684371,127.82846377081735,549098.353066853,308254131646.7667,0.15325884490628625,5797937983.786413,-1.0261176110794494,-0.6490393810233656,0.8174494364971275,-1.0,1.8189,300.0,"0.000000e+00,6.907755e+00,7.101581e-01,0.000000e+00",5.18394e+25,16800.0,46.9557,46.9557,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,200,152,0.00110504,9.63269e-06,230000000000.0,0.579611,0.625895,4.50188e+40,0.579611,0.0165499,-0.127774,-0.00991857,22.2289,-1.71125
b8fz0cl1d5.h5,-0.40494625285910724,111.60997066153598,1835441.1921303892,167243336226.37546,0.2130360076616343,6467661403.793539,-1.056858975140115,-0.8044676344622643,0.49272628894464354,-1.0,1.91434,300.0,"0.000000e+00,6.907755e+00,6.200554e-01,0.000000e+00",5.18394e+25,16800.0,42.0934,42.0934,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,192,176,0.000871096,9.54274e-06,230000000000.0,0.574198,0.608044,4.45984e+40,0.574198,0.00815847,0.0106756,-0.00131726,2.33997,-0.229409
5fe7yhj0km.h5,-0.49614885594792174,79.2959059622136,550000.0,9666903379.284204,0.2726384913394032,6370989381.172911,-1.046570393305364,-0.8237222647434822,0.4122794492098648,1.0,1.86824,300.0,"0.000000e+00,6.907755e+00,4.405328e-01,0.000000e+00",5.18394e+25,16800.0,42.7322,42.7322,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,139,123,8.3797e-30,1.01297e-33,230000000000.0,6.09518e-29,1.02262e-28,4734170000000.0,6.09518e-29,-6.75576e-30,5.50075e-30,8.1671e-32,14.2932,0.133993
rgize1ri50.h5,-0.19764924059734024,143.88981792165978,1007987.5909743849,255731995385.24557,0.3031546221621201,6964850431.378804,-1.1235941610232345,-0.819375245152127,0.05645317104951042,-1.0,1.98027,300.0,"0.000000e+00,6.907755e+00,7.993879e-01,0.000000e+00",5.18394e+25,16800.0,39.0886,39.0886,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,189,131,0.000647508,8.14502e-06,230000000000.0,0.490096,0.520844,3.80661e+40,0.490096,0.0776491,-0.0265375,-0.00398017,16.7434,-0.812121
eonmtas9qq.h5,-0.015227703193259723,15.136722051081524,1346266.9692606828,201502106597.1443,0.43449610987054843,6192188742.269214,-1.1218787227762572,-0.7211602214194026,0.07609134884612567,1.0,1.99988,300.0,"0.000000e+00,6.907755e+00,8.409290e-02,0.000000e+00",5.18394e+25,16800.0,43.9661,43.9661,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,121,167,0.000587979,9.22545e-06,230000000000.0,0.555106,0.612049,4.31155e+40,0.555106,0.0634258,-0.0441039,-0.0557867,13.9167,-10.0497
q9xhofosvg.h5,0.06826840859546612,37.76497287422006,127820.45140982272,746264185946.748,0.5636114113931316,6277706766.055879,-1.0736159734244124,-0.8464783317056173,0.9320511952648671,-1.0,1.99767,300.0,"0.000000e+00,6.907755e+00,2.098054e-01,0.000000e+00",5.18394e+25,16800.0,43.3671,43.3671,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,198,165,0.00135079,8.67127e-06,230000000000.0,0.521761,0.536888,4.05256e+40,0.521761,-0.0449376,0.0390129,0.00472631,11.4055,0.905838
xkv6numte5.h5,0.3559388282768452,9.152173045591539,148808.97815592054,639627164637.1641,0.42033857699542054,7328892067.272263,-1.1067048402315383,-0.7874888001428889,0.05991235670968997,-1.0,1.93451,300.0,"0.000000e+00,6.907755e+00,5.084541e-02,0.000000e+00",5.18394e+25,16800.0,37.147,37.147,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,123,186,0.000354512,6.8506e-06,230000000000.0,0.412209,0.418289,3.20166e+40,0.412209,0.00188644,-0.000179103,-0.000344681,0.459699,-0.083618
bqanr55ur3.h5,0.22062415270880464,46.95204254916383,111761.83152631667,962127899922.5947,0.3586506939324212,7489276824.958925,-1.0948064881913668,-0.9137884379367631,0.5273240029466334,-1.0,1.97536,300.0,"0.000000e+00,6.907755e+00,2.608447e-01,0.000000e+00",5.18394e+25,16800.0,36.3515,36.3515,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,204,178,0.000854984,9.0267e-06,230000000000.0,0.543148,0.549132,4.21867e+40,0.543148,0.0248528,0.0290793,0.00268752,7.04278,0.494805
83ldz6ziu1.h5,-0.1471163212743718,42.71603533632355,378577.2742443895,558273889506.2953,0.4150222998226668,5187708806.065224,-1.1862778926600666,-0.8698141884275243,0.8587523102128013,1.0,1.98912,300.0,"0.000000e+00,6.907755e+00,2.373113e-01,0.000000e+00",5.18394e+25,16800.0,52.4791,52.4791,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,127,155,0.00162873,9.45964e-06,230000000000.0,0.569198,0.615349,4.42101e+40,0.569198,-0.020552,-0.0903259,-0.0187269,16.2746,-3.29004
lfcuefrqef.h5,-0.5808739690152002,133.90343207555097,131958.39854508737,864122081152.1553,0.24509969872257917,6958762584.880923,-1.0270627712327156,-0.9797477570576316,0.6396309959215433,-1.0,1.81399,300.0,"0.000000e+00,6.907755e+00,7.439080e-01,0.000000e+00",5.18394e+25,16800.0,39.1228,39.1228,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,194,159,0.00165406,9.1254e-06,230000000000.0,0.549086,0.565344,4.26479e+40,0.549086,-0.00659455,-0.0501001,-0.00518305,9.20296,-0.94394
