filename,a,thetacam,Ne_unit,Te_unit,disk_h,MBH,pow_nth,pow_T,keplerian_factor,fluid_dirction,rotcam,xoff,yoff,Rin,Rout,Xcam,Dsource_cm,Dsource_kpc,FOVx_GM/c^2,FOVy_GM/c^2,FOVx_rad,FOVy_rad,FOVx_muas,FOVy_muas,Resolution,scale,imax,jmax,Imax,Iavg,freq,Ftot,unpol_xfer,nuLnu,I,Q,U,V,LP,CP
nj6lgicxfh.h5,0.8536104631659736,70.15353803612358,711435.8972039814,200128737555.94888,0.566798871235042,5127534896.129391,-1.2387254782543564,-0.6963093143008868,0.7917328510624911,1.0,15.60752474708583,6.139641772998004,29.29864016684357,1.52091,300.0,"0.000000e+00,6.907755e+00,3.897419e-01,0.000000e+00",5.18394e+25,16800.0,53.0949,53.0949,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,131,124,0.00141586,9.16099e-06,230000000000.0,0.551228,0.59871,4.28143e+40,0.551228,-0.0377378,0.00331579,-0.00517744,6.87251,-0.939256
zi9gr29rnk.h5,-0.32890175009418865,71.42803293584473,15527387.198136147,71826068204.09033,0.574040466227126,3412305897.11554,-0.8313866660175001,-0.5783272960697111,0.31806566894740096,-1.0,208.0152292166284,25.610413517397234,-22.87334389494228,1.94436,300.0,"0.000000e+00,6.907755e+00,3.968224e-01,0.000000e+00",5.18394e+25,16800.0,79.7836,79.7836,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,138,210,0.000368602,9.94922e-06,230000000000.0,0.598657,0.600169,4.64981e+40,0.598657,-2.67744e-05,-0.000454995,-0.000802264,0.0761341,-0.134011
vyynkc1xlx.h5,0.6584247415027373,93.78478057214771,54987.583612611124,887952348853.7833,0.7774556913192993,6322589299.499903,-0.9793767963264648,-0.615012098613995,0.12332468367723892,-1.0,288.09774898627177,1.371597610294124,-25.249109060864427,1.75265,300.0,"0.000000e+00,6.907755e+00,5.210266e-01,0.000000e+00",5.18394e+25,16800.0,43.0593,43.0593,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,128,175,0.00044315,9.87759e-06,230000000000.0,0.594347,0.594481,4.61634e+40,0.594347,-0.205497,0.149286,-0.000208583,42.7358,-0.0350945
rtm6ebfm1w.h5,0.7370597669369472,49.05383402252027,422434.2622219412,662191128659.386,0.1425468941186302,4725532314.213936,-0.8133763427429271,-1.0236964043906789,0.20774223260969293,1.0,68.96563872662212,7.434196517076529,25.3244982481542,1.67583,300.0,"0.000000e+00,6.907755e+00,2.725213e-01,0.000000e+00",5.18394e+25,16800.0,57.6117,57.6117,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,148,156,0.00159368,9.18487e-06,230000000000.0,0.552665,0.599201,4.29259e+40,0.552665,-0.0755787,-0.0233136,-0.000868866,14.3112,-0.157214
i66u28vhj5.h5,0.9211672451710249,100.77030846001126,707514.9738241106,370187797237.1495,0.6779023031643039,2548515520.1867895,-1.0785972849614698,-0.5613380288426725,0.19021118543934623,-1.0,148.57163900453426,-6.211708259063116,-29.686287384092687,1.38917,300.0,"0.000000e+00,6.907755e+00,5.598350e-01,0.000000e+00",5.18394e+25,16800.0,106.825,106.825,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,167,200,0.00143524,9.01902e-06,230000000000.0,0.542686,0.59587,4.21508e+40,0.542686,0.0891702,0.105015,-0.00158479,25.386,-0.292027
s9wjek5sbj.h5,0.6340339841617506,87.55169119782424,68725.54637877064,813778562297.3646,0.7941105748016043,4211087239.055625,-0.8492174973121567,-0.6931072880256761,0.8441773439380506,1.0,67.39368938021086,-18.574261815907313,-4.857960409441866,1.77331,300.0,"0.000000e+00,6.907755e+00,4.863983e-01,0.000000e+00",5.18394e+25,16800.0,64.6498,64.6498,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,176,183,0.00400674,9.979e-06,230000000000.0,0.600448,0.616756,4.66373e+40,0.600448,-0.195509,-0.188005,0.00336644,45.1725,0.560654
lrj3vrjler.h5,-0.9635452652386032,9.472748088143119,146143.29141011657,960823760503.7993,0.15713722339504943,7967538622.197683,-1.3495057408134195,-0.7400713561894207,0.3863719281113116,-1.0,334.53467056965206,23.890366126591047,14.379060359000519,1.26755,300.0,"0.000000e+00,6.907755e+00,5.262638e-02,0.000000e+00",5.18394e+25,16800.0,34.1694,34.1694,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,173,164,0.000598327,1.01885e-05,230000000000.0,0.613054,0.615181,4.76164e+40,0.613054,-0.00133982,0.000545966,-0.00112064,0.235997,-0.182796
op2aa072yg.h5,-0.9477947814475902,102.73719356622493,144207.85111372801,998638560605.8939,0.6924288680046478,7042403604.221215,-1.174323135186614,-1.0609791380970353,0.3560218298171087,1.0,180.10191475194156,7.103929048208833,1.2416793072696848,1.31888,300.0,"0.000000e+00,6.907755e+00,5.707622e-01,0.000000e+00",5.18394e+25,16800.0,38.6581,38.6581,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,133,141,0.000781691,9.79193e-06,230000000000.0,0.589192,0.60042,4.5763e+40,0.589192,0.142234,-0.0242619,-0.00227124,24.4891,-0.385483
y7gz9mgk0x.h5,0.4816271303599513,22.12849820957117,218123.05161058527,353915304142.28125,0.28498701778247015,8946422750.453678,-0.8365862253654316,-0.7560472592656567,0.20970387765908804,1.0,131.06164935182358,-19.789103715077907,-17.410929073553795,1.87638,300.0,"0.000000e+00,6.907755e+00,1.229361e-01,0.000000e+00",5.18394e+25,16800.0,30.4307,30.4307,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,203,221,0.000583273,9.89718e-06,230000000000.0,0.595526,0.620097,4.62549e+40,0.595526,0.0219693,0.0257005,-0.00774181,5.67745,-1.3
8bgkeyayg9.h5,0.3587370059860484,170.76131893630068,593275.643124565,887117358474.6519,0.35664134227632427,2831194348.296218,-1.2183607696305183,-0.8870412162108858,0.7741511933696614,1.0,314.87811863317455,6.369441039399611,19.103444874941744,1.93344,300.0,"0.000000e+00,6.907755e+00,9.486740e-01,0.000000e+00",5.18394e+25,16800.0,96.1595,96.1595,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,140,130,0.00148339,9.16313e-06,230000000000.0,0.551357,0.592954,4.28243e+40,0.551357,-0.00050145,0.000812123,-0.00347186,0.173111,-0.629693
v212gp89bf.h5,-0.9081574931426194,55.63815776678289,340569.9045123969,409041298734.64154,0.49330600776370204,4895188382.178837,-0.9302026968724804,-0.756337293217243,0.5720982442167977,1.0,325.1574036830366,-28.305208424726146,19.312612784259322,1.41863,300.0,"0.000000e+00,6.907755e+00,3.091009e-01,0.000000e+00",5.18394e+25,16800.0,55.615,55.615,7.75701e-10,7.75701e-10,160.0,160.0,"320,320",0.5876097,165,111,0.00135601,9.44417e-06,230000000000.0,0.568267,0.604649,4.41377e+40,0.568267,0.148238,0.0514256,-0.00828928,27.6111,-1.45869
